dtrace: system integrity protection is on, some features will not be available
SYSCALL(args) 		 = return
psynch_cvsignal(0xC00004C380, 0x10000000200, 0x100)		 = 257 0
psynch_cvwait(0xC00004C380, 0x10100000200, 0x100)		 = 0 0
__semwait_signal(0xA03, 0x0, 0x1)		 = -1 Err#60
__semwait_signal(0xA03, 0x0, 0x1)		 = -1 Err#60
__semwait_signal(0xA03, 0x0, 0x1)		 = -1 Err#60
__semwait_signal(0xA03, 0x0, 0x1)		 = -1 Err#60
stat64("/Users/soichiro-taga/dev/src/github.com/midorigreen/go-sandbox/hello\0", 0xC0000782A8, 0x0)		 = 0 0
fcntl(0x0, 0x3, 0x0)		 = 2 0
__semwait_signal(0xA03, 0x0, 0x1)		 = -1 Err#60
psynch_cvsignal(0xC00004C380, 0x20000000300, 0x200)		 = 257 0
psynch_cvwait(0xC00004C380, 0x20100000300, 0x200)		 = 0 0
mmap(0x0, 0x40000, 0x3, 0x1002, 0xFFFFFFFFFFFFFFFF, 0x0)		 = 0x1730000 0
__semwait_signal(0xA03, 0x0, 0x1)		 = -1 Err#60
__semwait_signal(0xA03, 0x0, 0x1)		 = -1 Err#60
fcntl(0x1, 0x3, 0x0)		 = 1 0
psynch_cvsignal(0xC000030780, 0x10000000200, 0x100)		 = 257 0
fcntl(0x2, 0x3, 0x0)		 = 1 0
psynch_cvwait(0xC000030780, 0x10100000200, 0x100)		 = 0 0
__semwait_signal(0xA03, 0x0, 0x1)		 = -1 Err#60
__semwait_signal(0xA03, 0x0, 0x1)		 = -1 Err#60
__semwait_signal(0xA03, 0x0, 0x1)		 = -1 Err#60
__semwait_signal(0xA03, 0x0, 0x1)		 = -1 Err#60
__semwait_signal(0xA03, 0x0, 0x1)		 = -1 Err#60
psynch_cvwait(0xC000030780, 0x20100000300, 0x200)		 = -1 Err#260
psynch_cvwait(0xC000030B80, 0x10100000200, 0x100)		 = -1 Err#260
psynch_cvwait(0xC00004C380, 0x30100000400, 0x300)		 = -1 Err#260

CALL                                        COUNT
access                                          1
bsdthread_register                              1
exit                                            1
getpid                                          1
issetugid                                       1
proc_info                                       1
read                                            1
sysctlbyname                                    1
write                                           1
close                                           2
csops                                           2
open                                            2
sysctl                                          2
fcntl                                           3
ioctl                                           3
stat64                                          3
bsdthread_create                                4
thread_selfid                                   4
mmap                                            8
mprotect                                        8
psynch_cvsignal                                 8
sigaltstack                                    10
psynch_cvwait                                  11
__pthread_sigmask                              14
__semwait_signal                               25
sigaction                                      50

